source	reference	greedy	beam
نارمن (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے 10 ویں اور 11 ویں صدیوں میں <ans> فرانس </ans> کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنڈی کس ملک میں واقع ہے؟	نارمن کس کس ملک کے نام پر رکھا گیا تھا؟	نارمن کا نام کس کے نام پر رکھا گیا تھا؟
نارمنز (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے <ans> دسویں اور گیارہویں صدیوں </ans> میں فرانس کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنز نارمنڈی میں کب تھے؟	نارمنز کب کب کب کب گیا؟	نارمنز کب پیدا کیا گیا تھا؟
نارمن (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے <ans> دسویں اور گیارہویں صدیوں میں </ans> فرانس کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنز نارمنڈی میں کب تھے؟	نارمن کب کب کب گیا تھا؟	نارمن کب پیدا کیا گیا تھا؟
وہ <ans> ڈنمارک ، آئس لینڈ اور ناروے </ans> کے نارمن (نورمن نارمن سے آتا ہے) حملہ آوروں اور قزاقوں سے descended تھے ، جنہوں نے اپنے رہنما رولو کے تحت ، مغربی فرانس کے بادشاہ چارلس III کے ساتھ وفاداری کی قسم کھانے پر اتفاق کیا۔	نورس کس ملک سے پیدا ہوئے تھے؟	کون سے ممالک ممالک نے اسپین کے اپنے تعلقات کے  کی؟	کون سے ممالک ممالک نے اسپینوں کو  کے طور پر  کیا؟ تھا؟
وہ ڈنمارک ، آئس لینڈ اور ناروے کے نارمن (نورمن نارمن سے آتا ہے) حملہ آوروں اور قزاقوں سے descended تھے ، جنہوں نے اپنے رہنما <ans> رولو </ans> کے تحت ، مغربی فرانس کے بادشاہ چارلس III کے ساتھ وفاداری کی قسم کھانے پر اتفاق کیا۔	نورس لیڈر کون تھا؟	کون سا بادشاہ نے بادشاہ کے بادشاہ کے طور پر وفاداری کے طور پر؟	نپولین نے کون تھا؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں صدی </ans> کے پہلے نصف میں سامنے آئی ، اور اس نے بعد کی صدیوں میں ترقی جاری رکھی۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	نارمن اور ثقافتی ثقافتی ثقافتی ثقافت کب کب سامنے سامنے سامنے سامنے آئیں؟	نارمن اور ثقافتی ثقافتی ثقافتی ثقافت کب کب نمودار ہوئی؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں صدی کے پہلے نصف </ans> میں سامنے آئی ، اور اس نے آنے والی صدیوں میں تیار ہونا جاری رکھا۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	نارمن اور ثقافتی ثقافتی ثقافتی کب کب کب سامنے سامنے سامنے سامنے؟	نارمن اور ثقافتی ثقافتی ثقافتی ثقافتی کب کب کب سامنے آئیں؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں </ans> صدی کے پہلے نصف میں سامنے آئی ، اور اس نے آنے والی صدیوں میں تیار ہونا جاری رکھا۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	نارمن صدی میں ثقافتی ثقافت میں ثقافتی ثقافت کب سامنے سامنے آئیں؟	نارمن صدی میں ثقافتی طور ثقافتی ثقافتوں میں سے ایک کیا تھا؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں </ans> صدی کے پہلے نصف میں سامنے آئی ، اور اس نے آنے والی صدیوں میں تیار ہونا جاری رکھا۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	نارمن صدی میں ثقافتی ثقافت میں ثقافتی ثقافت کب سامنے سامنے آئیں؟	نارمن صدی میں ثقافتی طور ثقافتی ثقافتوں میں سے ایک کیا تھا؟
نارمن مہم جوئیوں نے جنوبی اٹلی کو سارسین اور بازنطینیوں پر فتح کرنے کے بعد روجر دوم کے تحت سسلی کی بادشاہی کی بنیاد رکھی ، اور ان کے ڈیوک ، <ans> ولیم فاتح </ans> کی طرف سے ایک مہم نے 1066 میں ہیسٹنگز کی لڑائی میں انگلینڈ کی نارمن فتح کی قیادت کی۔	ہیسٹنگس کی لڑائی میں ڈیوک کون تھا؟	کون سا کی قیادت کس نے کی؟	سٹسٹسٹ کی جنگ کس نے کی؟ کی قیادت کس نے کی؟
ڈچی آف نارمنڈی ، جسے انہوں نے فرانسیسی تاج کے ساتھ معاہدے کے ذریعہ تشکیل دیا ، قرون وسطی کے فرانس کا ایک عظیم فیوڈ تھا ، اور نارمنڈی کے <ans> رچرڈ اول </ans> کے تحت ایک مربوط اور خوفناک شہنشاہی میں تشکیل دیا گیا تھا۔	جو نورمنڈی کے ڈچی پر حکمرانی کی	قرون وسطی کے کس ڈچ کے تحت کس نے کس نے تحت ایک اتحاد قائم کیا؟	قرون وسطی کے تحت ڈچ کے کس نے تحت کس؟؟
نارمن اپنی جنگی روح اور بالآخر اپنی عیسائی عقیدت کے لئے مشہور تھے ، جو <ans> کیتھولک </ans> آرتھوڈوکس کے نمائندے بن گئے جس میں انہوں نے ہم آہنگ کیا۔	نارمنز کا مذہب کیا تھا؟	نارمن کے دوران کون مذہب کے مذہب بن گیا؟	نارمن کے کون سا مذہب غالب مذہب بن گیا؟
نارمن اپنی جنگی روح اور بالآخر اپنی عیسائی عقیدت کے لئے مشہور تھے ، جس میں وہ <ans> کیتھولک آرتھوڈوکس </ans> کے نمائندے بن گئے جس میں انہوں نے ہم آہنگ کیا۔	نارمنز کا مذہب کیا تھا؟	نارمن کے دوران کون کے مذہب کے طور پر کس نے؟	نارمن نے اپنی قربانیوں کے دوران کس مذہب کے دوران کس مذہب کے طور پر کیا کیا؟
نورمنڈی کا ڈچی ، جو <ans> 911 </ans> میں ایک فیوڈم کے طور پر شروع ہوا ، مغربی فرانس کے بادشاہ چارلس III اور مشہور وائکنگ حکمران رولو کے مابین سینٹ کلیئر سور ایپٹ کے معاہدے کے ذریعہ قائم کیا گیا تھا ، اور یہ سابقہ فرینک سلطنت نیوسٹریا میں واقع تھا۔	ڈچی آف نارمنڈی کی بنیاد کب رکھی گئی تھی؟	یییی کا کب کب شروع ہوا؟	ڈنییی ڈچ کس سال کس سال شروع کیا گیا تھا؟
ڈچی آف نارمنڈی ، جو 911 میں ایک فیوڈم کے طور پر شروع ہوا ، مغربی فرانس کے <ans> بادشاہ چارلس III </ans> اور مشہور وائکنگ حکمران رولو کے مابین سینٹ کلیئر سور ایپٹ کے معاہدے کے ذریعہ قائم کیا گیا تھا ، اور یہ سابقہ فرینک بادشاہت نیوسٹریا میں واقع تھا۔	رولو نے سینٹ کلیئر سور ایپٹ کے معاہدے پر کس کے ساتھ دستخط کیے؟	کس سا بادشاہ ڈچ کے ساتھ ساتھ، جس نے ایک ڈچ کے ساتھ کے ساتھ ایک اور؟	کون سا کے ساتھ ساتھ، جس کے ساتھ ڈچ کے ساتھ کے طور پر قائم کیا گیا تھا؟
یہ علاقہ موجودہ اپر نارمنڈی کے شمالی حصے سے نیچے دریائے <ans> سین </ans> تک تھا ، لیکن ڈچی بالآخر سین سے باہر مغرب میں پھیل جائے گی۔	کون سا دریا اصل میں ڈچی کی حد بندی کرتا تھا	اپر اپر کس شمالی ساحل پر واقع تھا؟	اپر اپر کس شمالی ساحل پر واقع تھا؟
معاہدے نے رولو اور اس کے مردوں کو مزید وائکنگ حملے کے خلاف تحفظ کے بدلے میں دریا <ans> ایپٹ </ans> اور بحر اوقیانوس کے ساحل کے درمیان فرانسیسی زمینیں پیش کیں۔	کون سا دریا اصل میں ڈچی کی حد بندی کرتا تھا	معاہدے نے کس دریا کے دریا کے؟	اس معاہدے کا نام کیا تھا جو
<ans> رولو </ans> کی آمد سے پہلے ، اس کی آبادی پکارڈی یا آئل ڈی فرانس سے مختلف نہیں تھی ، جسے فرینک سمجھا جاتا تھا۔	پہنچنے پر کس نے اصل وائکنگ آباد کاروں کو ایک مشترکہ شناخت دی؟	کون سا کی آبادی کی سے پہلے آبادی کی سے الگ نہیں تھی؟	کس کی کی آبادی آبادی میں سے ایک کیا تھی؟
زیادہ تر نارمن شورویروں کو غریب اور زمین کی بھوک لگی رہی ، اور 1066 تک نارمنڈی ایک نسل سے زیادہ عرصے سے <ans> لڑنے والے گھوڑوں </ans> کی برآمد کر رہا تھا۔	نارمن کی اہم برآمدات میں سے ایک کیا تھا؟	زیادہ سے زیادہ غلاموں کو کیا کرنے کی کوشش کر رہا تھا؟	بہت سے بڑے پیمانے پر غلاموں کو کیا کرنے کی کوشش کر رہا تھا؟
نارمنوں کے اٹلی میں داخل ہونے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، پیچنیگس ، بلغاروں اور خاص طور پر <ans> سلجک ترکوں </ans> کے خلاف لڑے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	بعد سے دووں نےوں کو کس نے خلاف کیا؟	کاروں کے ساتھ ساتھ، کونوں نے کون سے دوسرے گروپوں کو کنٹرول کیا؟
نارمنز نے اٹلی میں داخل ہونا شروع کرنے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، <ans> پیچنیگس ، بلغارین ، اور خاص طور پر سلجک ترکوں </ans> کے خلاف لڑتے ہوئے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	ز نے نے کس سلطنت کے خلاف کس کو کس کیا؟	زمن نے کس سلطنت کے خلافے میں کس کیا؟
نارمنوں کے اٹلی میں داخل ہونے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، پیچنیگس ، بلغاروں اور خاص طور پر <ans> سلجک ترکوں </ans> کے خلاف لڑے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	بعد سے دووں نےوں کو کس نے خلاف کیا؟	کاروں کے ساتھ ساتھ، کونوں نے کون سے دوسرے گروپوں کو کنٹرول کیا؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک <ans> 1050 کی دہائی </ans> میں ہروی تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	کس سال میں میں جنرلوں کی پہلی بار کب میں؟	نمیبیا میں پہلی بار کب پہنچا؟
